from_concept_id,from_name,to_concept_id,to_name,relationship_type,strength,note
E01,Electric Charge,E02,Electric Current,PREREQUISITE_OF,1.0,Current = rate of flow of charge — cannot define without charge
E01,Electric Charge,E05,Conventional Direction of Current,PREREQUISITE_OF,0.9,Conventional direction built on concept of positive charge
E01,Electric Charge,E08,Electric Potential Difference,PREREQUISITE_OF,1.0,Potential difference = work per unit charge — needs charge concept
E02,Electric Current,E05,Conventional Direction of Current,PREREQUISITE_OF,0.9,Conventional direction is about which way current defined to flow
E02,Electric Current,E06,Electric Circuit,PREREQUISITE_OF,1.0,Circuit is a path for current
E02,Electric Current,E07,Ammeter,PREREQUISITE_OF,1.0,Ammeter measures current
E02,Electric Current,E13,Ohm's Law,PREREQUISITE_OF,1.0,Ohm's Law relates V and I
E06,Electric Circuit,E07,Ammeter,PREREQUISITE_OF,0.8,Ammeter placed in a circuit
E06,Electric Circuit,E10,Voltmeter,PREREQUISITE_OF,0.8,Voltmeter placed in a circuit
E06,Electric Circuit,E24,Circuit Diagram Symbols,PREREQUISITE_OF,0.7,Symbols represent circuit components
E08,Electric Potential Difference,E10,Voltmeter,PREREQUISITE_OF,1.0,Voltmeter measures potential difference
E08,Electric Potential Difference,E11,Cell / Battery,PREREQUISITE_OF,0.9,Cell maintains potential difference
E08,Electric Potential Difference,E13,Ohm's Law,PREREQUISITE_OF,1.0,Ohm's Law: V = IR — needs V concept
E13,Ohm's Law,E16,V-I Graph,PREREQUISITE_OF,1.0,V-I graph is visual representation of Ohm's Law
E13,Ohm's Law,E35,Heating Effect of Electric Current,PREREQUISITE_OF,0.7,Heating effect involves current through resistance
E02,Electric Current,E14,Resistance,PREREQUISITE_OF,1.0,Resistance opposes current
E08,Electric Potential Difference,E14,Resistance,PREREQUISITE_OF,1.0,Resistance R = V/I — needs both V and I
E14,Resistance,E16,V-I Graph,PREREQUISITE_OF,0.9,Graph slope = resistance
E14,Resistance,E17,Resistor & Rheostat,PREREQUISITE_OF,1.0,Resistor is a device with resistance
E14,Resistance,E19,Factors Affecting Resistance,PREREQUISITE_OF,1.0,Factors affecting resistance depend on what resistance is
E14,Resistance,E25,Series Combination of Resistors,PREREQUISITE_OF,1.0,Series combination involves resistors
E14,Resistance,E29,Parallel Combination of Resistors,PREREQUISITE_OF,1.0,Parallel combination involves resistors
E14,Resistance,E35,Heating Effect of Electric Current,PREREQUISITE_OF,0.9,Heating H = I²Rt involves resistance
E19,Factors Affecting Resistance,E20,Resistivity,PREREQUISITE_OF,1.0,Resistivity ρ is in the formula R = ρL/A
E20,Resistivity,E21,Conductors vs Insulators,PREREQUISITE_OF,1.0,Conductor/insulator classification based on resistivity
E25,Series Combination of Resistors,E33,Series vs Parallel — Comparison,PREREQUISITE_OF,1.0,Comparison requires knowing both combinations
E29,Parallel Combination of Resistors,E33,Series vs Parallel — Comparison,PREREQUISITE_OF,1.0,Same as above
E25,Series Combination of Resistors,E45,Domestic Electric Circuits,PREREQUISITE_OF,0.7,Domestic circuit uses parallel — contrast with series
E29,Parallel Combination of Resistors,E45,Domestic Electric Circuits,PREREQUISITE_OF,0.9,Domestic circuit uses parallel combination
E35,Heating Effect of Electric Current,E36,Joule's Law of Heating,PREREQUISITE_OF,1.0,Joule's Law quantifies heating effect
E35,Heating Effect of Electric Current,E40,Electric Power,PREREQUISITE_OF,1.0,Power P = rate of energy = VI related to heating
E36,Joule's Law of Heating,E37,Applications of Heating Effect,PREREQUISITE_OF,0.9,Applications use Joule heating principle
E36,Joule's Law of Heating,E39,Electric Fuse,PREREQUISITE_OF,1.0,Fuse works by Joule heating — melts on excess current
E37,Applications of Heating Effect,E38,Electric Bulb Filament,PREREQUISITE_OF,0.9,Bulb filament is application of heating effect
E21,Conductors vs Insulators,E38,Electric Bulb Filament,PREREQUISITE_OF,0.8,Filament material needs high resistivity + high melting point
E39,Electric Fuse,E43,Overloading & Short Circuit,PREREQUISITE_OF,0.9,Overloading / short circuit — fuse response
E40,Electric Power,E42,Kilowatt-hour (Unit),PREREQUISITE_OF,1.0,kWh is unit of energy = power × time
E43,Overloading & Short Circuit,E45,Domestic Electric Circuits,PREREQUISITE_OF,0.8,Domestic circuit includes safety devices
E45,Domestic Electric Circuits,E46,Earth Wire / Live / Neutral,PREREQUISITE_OF,1.0,Live/neutral/earth are wires in domestic circuit
E45,Domestic Electric Circuits,E50,Domestic Circuit Safety,PREREQUISITE_OF,0.9,Safety rules for domestic circuit
E45,Domestic Electric Circuits,E51,Series vs Parallel in Domestic Wiring,PREREQUISITE_OF,1.0,Parallel wiring IS the domestic circuit
