concept_id,concept_name,chapter,description,formula,unit,prerequisites,bloom_level,difficulty_level,concept_type,misconception,quiz_in_scope,change_flag
E01,Electric Charge,Electricity,Fundamental property of matter; can be positive or negative; quantized as multiples of e=1.6×10⁻¹⁹ C; conserved in all reactions,Q = ne,Coulomb (C),,remember,1,atomic,Students confuse charge with current; think charge flows like water,YES,CORRECTED: removed broken prereq
E02,Electric Current,Electricity,Rate of flow of electric charge through a conductor cross-section; I = Q/t,I = Q/t,Ampere (A),E01,remember,1,atomic,Students think current is the movement of protons; confuse with conventional direction,YES,UNCHANGED
E05,Conventional Direction of Current,Electricity,"By convention current flows + to −, opposite to electron flow",—,—,"E01, E02",understand,1,atomic,Students think electrons flow from + to −; confuse conventional vs actual,YES,UNCHANGED
E06,Electric Circuit,Electricity,Closed continuous path for current flow; must be unbroken for current to flow,—,—,E02,remember,1,atomic,Students think open circuit can still carry current,YES,UNCHANGED
E07,Ammeter,Electricity,Measures current; ALWAYS in series; has very low resistance,—,—,"E02, E06",understand,1,instrument,Students connect ammeter in parallel (like voltmeter); confuse with voltmeter connection rule,YES,UNCHANGED
E08,Electric Potential Difference,Electricity,Work done per unit positive charge moved between two points; drives current,V = W/Q,Volt (V),"E01, E02",understand,1,atomic,Students confuse potential with current; think higher potential = more current always,YES,UNCHANGED
E10,Voltmeter,Electricity,Measures potential difference; ALWAYS in parallel; has very high resistance,—,—,"E08, E06",understand,1,instrument,Students connect voltmeter in series; confuse with ammeter connection rule,YES,UNCHANGED
E11,Cell / Battery,Electricity,Source of electrical energy; converts chemical energy to maintain potential difference across terminals; has EMF and internal resistance,—,Volt (V) for EMF,E08,understand,1,atomic,Students think battery provides current not energy; confuse EMF with terminal voltage,YES,CORRECTED: merged E12 content here
E13,Ohm's Law,Electricity,"At constant temperature, V ∝ I for metallic conductors; the ratio V/I is constant = resistance",V = IR,—,"E08, E02",understand,2,law,Students think Ohm's Law is universal (apply it to bulbs and diodes); miss the 'constant temperature' condition,YES,CORRECTED: circular prereq with E14 resolved
E14,Resistance,Electricity,"Opposition to flow of current; depends on material, length, area; R = V/I",R = V/I,Ohm (Ω),"E02, E08",understand,1,atomic,Students think higher resistance = more heat always; confuse with resistivity,YES,CORRECTED: removed E13 from prereqs (was circular)
E16,V-I Graph,Electricity,Slope of V-I graph = Resistance; straight line through origin = Ohmic conductor; curved = non-Ohmic,Slope = R,—,"E13, E14",analyze,2,derived,Students read slope as I/V not V/I; think curved V-I means no resistance; swap axes,YES,UNCHANGED
E17,Resistor & Rheostat,Electricity,Resistor: fixed resistance component; Rheostat: variable resistor to control current without changing voltage,—,—,E14,apply,1,instrument,Students think rheostat changes voltage; confuse with potentiometer,YES,CORRECTED: merged E17+E18
E19,Factors Affecting Resistance,Electricity,R ∝ length (L); R ∝ 1/area (A); R depends on material (ρ); R changes with temperature,R = ρL/A,—,E14,understand,2,derived,Students think thicker wire has MORE resistance; forget temperature effect,YES,UNCHANGED
E20,Resistivity,Electricity,"Intrinsic material property; ρ = RA/L; independent of shape/size; increases with temperature for metals, decreases for semiconductors",ρ = RA/L,Ohm·metre (Ω·m),"E14, E19",understand,2,atomic,Students confuse resistivity with resistance; think they are the same thing,YES,UNCHANGED
E21,Conductors vs Insulators,Electricity,"Conductors: low ρ (metals, alloys); Insulators: very high ρ (glass, rubber); Alloys have higher ρ than pure metals — used in heating elements",—,—,E20,understand,1,atomic,Students think alloys conduct better than pure metals; confuse resistivity ranking,YES,CORRECTED: merged E21+E22+E23
E24,Circuit Diagram Symbols,Electricity,"Standard symbols: cell, battery, resistor, variable resistor, ammeter, voltmeter, switch, bulb",—,—,E06,remember,1,atomic,Students draw bulb symbol for all resistors; mix up ammeter/voltmeter symbols,YES,UNCHANGED
E25,Series Combination of Resistors,Electricity,"In series: same current through all; voltages add; R_eq = R1+R2+…; if one breaks, all fail",R_eq = R1+R2+R3,—,"E14, E06",apply,2,derived,Students think voltage is same in series (parallel rule); forget R_eq is always LARGER than any individual R,YES,CORRECTED: merged E25+E26+E27+E28
E29,Parallel Combination of Resistors,Electricity,In parallel: same voltage across all; currents add; 1/R_eq = 1/R1+1/R2+…; R_eq always less than smallest R,1/R_eq = 1/R1+1/R2,—,"E14, E06",apply,2,derived,Students think R_eq in parallel is average of resistances; forget R_eq is SMALLER than any individual R,YES,CORRECTED: merged E29+E30+E31+E32
E33,Series vs Parallel — Comparison,Electricity,"Series: simple wiring, one switch controls all, R increases; Parallel: independent operation, R decreases, used in homes",—,—,"E25, E29",analyze,2,derived,Students think series is used in homes because it's simpler; don't know why parallel is preferred,YES,CORRECTED: merged E33+E34
E35,Heating Effect of Electric Current,Electricity,Current through resistance produces heat; H = I²Rt (Joule's Law); energy is dissipated as heat,H = I²Rt = VIt,Joule (J),"E02, E14",understand,2,derived,Students think only high current causes heating; miss the role of resistance; confuse H=I²Rt with P=IV,YES,UNCHANGED
E36,Joule's Law of Heating,Electricity,"Heat produced proportional to I², R, and time; doubling current quadruples heat; doubling R doubles heat",H = I²Rt,—,"E35, E14",apply,2,law,Students confuse H ∝ I with H ∝ I² (miss the square); think doubling current doubles heat,YES,UNCHANGED
E37,Applications of Heating Effect,Electricity,"Electric iron, toaster, heater, bulb filament — all use Joule heating; material must have high melting point + high resistivity",—,—,"E35, E36",apply,2,derived,Students think any metal can be used as filament; don't connect material properties to function,YES,UNCHANGED
