question_id,Qnum,Chapter,concept_id,Bloom,Difficulty,Type,Question_Stem,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Correct_Reasoning,Wrong_A__Confusion___Weak_Topic,Wrong_B__Confusion___Weak_Topic,Wrong_C__Confusion___Weak_Topic,Wrong_D__Confusion___Weak_Topic
Q001,1,Electricity,E02,understand,1,Conceptual,"An electric circuit is connected with a battery, switch, and bulb. When the switch is opened, which of the following is true?",Current continues to flow but decreases slowly,No current flows — the circuit is broken,Current flows in the opposite direction,The battery still drives current through the air gap,B,"An open switch creates a break in the circuit. Current requires a complete closed path; with the circuit open, no charge can flow regardless of the battery voltage.",[A] — Weak: E06 (Electric Circuit). Student thinks current 'runs out' gradually. They don't understand that current needs a continuous closed loop — any break stops it instantly.,[C] — Weak: E05 (Conventional Direction). Student confuses reversing current with stopping it. Opening a switch doesn't reverse direction — it stops flow.,—,"[D] — Weak: E02, E06. Student incorrectly thinks current can jump across gaps. Air is an insulator; under normal conditions no current flows through the air gap."
Q002,2,Electricity,E05,understand,1,Conceptual,Electrons flow from the negative terminal to the positive terminal inside a battery. The conventional current direction in the external circuit is:,From negative to positive terminal,From positive to negative terminal — same as electron flow,From positive to negative terminal — opposite to electron flow,There is no conventional current direction; only electron flow matters,C,Conventional current is defined as flowing from + to − in the external circuit — opposite to actual electron flow. This is a historical convention established before electrons were discovered.,[A] — Weak: E05. Student confuses electron flow with conventional current. They know electrons go − to + and assume that IS conventional current.,"[B] — Weak: E05. Student says 'same as electron flow' but has the direction of electron flow wrong (electrons actually go − to + internally, + to − externally as conventional).",—,[D] — Weak: E05. Student dismisses the concept entirely. Conventional current direction is essential for circuit analysis and Ohm's Law application.
Q003,3,Electricity,"E07,E10",understand,2,Conceptual,A student wants to measure the current through a resistor AND the voltage across it simultaneously. Which connection is correct?,Ammeter in parallel with resistor; Voltmeter in series,Ammeter in series with resistor; Voltmeter in parallel with resistor,Both ammeter and voltmeter in series with resistor,Both ammeter and voltmeter in parallel with resistor,B,Ammeter has very low resistance and must be in series to measure current without disturbing the circuit. Voltmeter has very high resistance and must be in parallel to measure voltage drop across the component.,"[A] — Weak: E07, E10. Classic confusion — student swaps ammeter and voltmeter positions. Ammeter in parallel would create a short circuit (near-zero resistance path).","[C] — Weak: E10. Student puts voltmeter in series. A voltmeter in series has very high resistance, which would nearly stop all current flow in the circuit.",[D] — Weak: E07. Ammeter in parallel short-circuits the resistor — huge current would damage the ammeter.,—
Q004,4,Electricity,E13,understand,2,Conceptual,A student plots a V-I graph for two components: a nichrome wire (X) and a light bulb filament (Y). Which observation is correct?,Both X and Y give straight lines through origin,X gives a straight line; Y gives a curve that bends away from the current axis as current increases,X gives a curve; Y gives a straight line,Both give curves since resistance always changes with current,B,"Nichrome wire is an ohmic conductor — at constant temperature, R is constant, so V-I is linear. The bulb filament gets hot as current increases, which increases its resistance, so the V-I curve bends (slope increases) — non-ohmic behavior.","[A] — Weak: E13, E16. Student doesn't know the difference between ohmic and non-ohmic conductors. They apply Ohm's Law universally without the 'constant temperature' condition.",[C] — Weak: E13. Student has reversed which material is ohmic. Nichrome is specifically used AS an ohmic heating element; the bulb filament's temperature change makes it non-ohmic.,"[D] — Weak: E13, E16. Student over-generalizes — thinks no conductor obeys Ohm's Law. This reflects a fundamental misunderstanding of the conditions under which Ohm's Law holds.",—
Q005,5,Electricity,E16,analyze,2,Graph-Based,"The V-I graph of a resistor shows a straight line making an angle of 45° with the V-axis. If the angle increases to 60°, what happened?",Resistance increased,Resistance decreased,Current increased,Voltage decreased,A,"The slope of a V-I graph (V on y-axis, I on x-axis) equals resistance R = V/I. A steeper slope (larger angle with I-axis) means higher R. Increasing the angle from 45° to 60° means the slope increased — resistance increased.",[B] — Weak: E16. Student misreads slope direction. They may be thinking of the I-V graph (inverse) where steeper slope = lower resistance. Axis convention matters critically here.,"[C] — Weak: E16. Student confuses the variable that changes (resistance) with what the graph axes represent. Current is the x-axis variable, not a slope property.","[D] — Weak: E08, E16. Student thinks voltage decreased caused the change. But voltage and current both change together — what the slope tells you is their ratio (resistance).",—
Q006,6,Electricity,E14,apply,2,Numerical,A resistor carries a current of 0.5 A when connected to a 6 V battery. What is its resistance?,3 Ω,12 Ω,0.083 Ω,6 Ω,B,Using Ohm's Law: R = V/I = 6 V / 0.5 A = 12 Ω.,"[A] — Weak: E13, E14. Student has used R = I/V (inverted the formula). This is a formula inversion error — very common when students memorize V=IR mechanically without understanding R = V/I.",[C] — Weak: E13. Student multiplied V × I = 6 × 0.5 = 3 (then confused output). Reflects confusion between power formula and resistance formula.,[D] — Weak: E13. Student wrote down the voltage value as the resistance — they set R = V without dividing by I. Conceptual gap: resistance is not the same as voltage.,—
Q007,7,Electricity,E36,apply,2,Numerical,An electric heater of resistance 50 Ω draws a current of 4 A. How much heat is produced in 3 minutes?,600 J,2400 J,"144,000 J","36,000 J",C,"Using Joule's Law: H = I²Rt. t = 3 min = 180 s. H = (4)² × 50 × 180 = 16 × 50 × 180 = 144,000 J.",[A] — Weak: E36. Student forgot to square I: used H = IRt = 4 × 50 × 3 = 600. Miss the squared term — the single most common error in Joule's Law problems.,[B] — Weak: E36. Student used I²R but forgot to multiply by time: 16 × 50 × 3 = 2400 (used t=3 not 180 — forgot to convert minutes to seconds).,"[D] — Weak: E36. Student computed I × R × t = 4 × 50 × 180 = 36,000 (didn't square I). Shows partial formula knowledge.",—
Q008,8,Electricity,E40,apply,2,Numerical,A 100 W bulb is used for 5 hours per day for 30 days. What is the electrical energy consumed in kWh?,15 kWh,150 kWh,0.015 kWh,1500 kWh,A,"Energy = Power × Time = 100 W × (5 × 30) h = 100 W × 150 h = 15,000 Wh = 15 kWh. (Divide by 1000 to convert Wh to kWh.)","[B] — Weak: E42. Student forgot to convert watts to kilowatts (forgot to divide by 1000). They computed 100 × 150 = 15,000 and wrote it as kWh directly.","[C] — Weak: E40, E42. Student divided by 1000 twice or made a decimal error. Shows confusion about the relationship between W, kW, and kWh.",[D] — Weak: E42. Student multiplied total hours by 1000 instead of dividing power by 1000. Complete misunderstanding of kWh calculation.,—
Q009,9,Electricity,E25,apply,2,Numerical,"Three resistors of 3 Ω, 6 Ω, and 9 Ω are connected in series to a 36 V battery. What is the current through the 6 Ω resistor?",6 A,2 A,4 A,18 A,B,"In series: R_total = 3 + 6 + 9 = 18 Ω. Current I = V/R = 36/18 = 2 A. In series, the same current flows through all resistors — so current through 6 Ω is also 2 A.","[A] — Weak: E25, E14. Student divided voltage by the 6 Ω resistor only (36/6 = 6), ignoring the series combination rule. They don't know that series adds resistances.","[C] — Weak: E25. Student may have added only two resistors (3+6=9, then 36/9=4). They forgot to include all resistors in the equivalent resistance.","[D] — Weak: E25, E26. Student divided voltage by only one resistor value (3 Ω) getting 12, or made another arithmetic error. Shows confusion about what to use for total resistance.",—
Q010,10,Electricity,E29,apply,2,Numerical,Two resistors of 4 Ω and 12 Ω are connected in parallel. What is their equivalent resistance?,16 Ω,8 Ω,3 Ω,48 Ω,C,"1/R_eq = 1/4 + 1/12 = 3/12 + 1/12 = 4/12. Therefore R_eq = 12/4 = 3 Ω. In parallel, equivalent resistance is always less than the smallest individual resistance (3 < 4).",[A] — Weak: E29. Student added the resistances (4+12=16) — applied the SERIES formula to a parallel circuit. This is the most common parallel circuit error.,[B] — Weak: E29. Student averaged the resistances (4+12)/2 = 8. This is an incorrect intuitive shortcut with no physical basis.,[D] — Weak: E29. Student multiplied the resistances (4×12=48). This appears in the product-over-sum formula numerator but the student forgot to divide by the sum.,—
